epoch,step,train_loss,val_loss
0,74,,2.176103115081787
0,74,6.161927700042725,
1,149,,1.8313353061676025
1,149,1.8998942375183105,
2,224,,1.3671979904174805
2,224,1.4674930572509766,
3,299,,1.0421658754348755
3,299,1.0845600366592407,
4,374,,0.8204438090324402
4,374,0.8843201994895935,
5,449,,0.6442480087280273
5,449,0.7306141257286072,
6,524,,0.5462309122085571
6,524,0.7138599753379822,
7,599,,0.4765024781227112
7,599,0.5932646989822388,
8,674,,0.4335150122642517
8,674,0.6083275079727173,
9,749,,0.4530068039894104
9,749,0.5497668981552124,
10,824,,0.32084232568740845
10,824,0.40946757793426514,
11,899,,0.31118303537368774
11,899,0.3747449219226837,
12,974,,0.27283015847206116
12,974,0.35184991359710693,
13,1049,,0.33803218603134155
13,1049,0.3244878351688385,
14,1124,,0.3181650638580322
14,1124,0.30883240699768066,
15,1199,,0.3126412332057953
15,1199,0.4159746766090393,
16,1274,,0.3059650659561157
16,1274,0.3984816372394562,
17,1349,,0.3543629050254822
17,1349,0.31578460335731506,
18,1424,,0.3181965947151184
18,1424,0.30857911705970764,
19,1499,,0.3138863444328308
19,1499,0.289291113615036,
20,1574,,0.3164733946323395
20,1574,0.30650922656059265,
21,1649,,0.30708202719688416
21,1649,0.294581800699234,
22,1724,,0.3152952790260315
22,1724,0.28830644488334656,
23,1799,,0.302878201007843
23,1799,0.29409122467041016,
24,1874,,0.33761096000671387
24,1874,0.2673003077507019,
25,1949,,0.3324812054634094
25,1949,0.2743273973464966,
26,2024,,0.280264288187027
26,2024,0.27996689081192017,
27,2099,,0.2367234230041504
27,2099,0.2925061285495758,
28,2174,,0.19476757943630219
28,2174,0.24369382858276367,
29,2249,,0.21046021580696106
29,2249,0.22417020797729492,
30,2324,,0.3275834918022156
30,2324,0.33867529034614563,
31,2399,,0.23944923281669617
31,2399,0.2934397757053375,
32,2474,,0.2524224519729614
32,2474,0.24610158801078796,
33,2549,,0.23898248374462128
33,2549,0.24816690385341644,
34,2624,,0.26450544595718384
34,2624,0.23836466670036316,
35,2699,,0.27285653352737427
35,2699,0.24116142094135284,
36,2774,,0.25654739141464233
36,2774,0.24272295832633972,
37,2849,,0.22571229934692383
37,2849,0.27774059772491455,
38,2924,,0.28889042139053345
38,2924,0.2306341826915741,
39,2999,,0.25361794233322144
39,2999,0.23600919544696808,
40,3074,,0.24651002883911133
40,3074,0.23066070675849915,
41,3149,,0.2723027765750885
41,3149,0.22629837691783905,
42,3224,,0.26091793179512024
42,3224,0.22179140150547028,
43,3299,,0.2711127698421478
43,3299,0.21793678402900696,
44,3374,,0.23777158558368683
44,3374,0.24846957623958588,
45,3449,,0.24893729388713837
45,3449,0.21626345813274384,
46,3524,,0.3142547905445099
46,3524,0.29217466711997986,
47,3599,,0.3080896735191345
47,3599,0.4226374924182892,
48,3674,,0.19352540373802185
48,3674,0.2904399633407593,
49,3749,,0.16460178792476654
49,3749,0.19429929554462433,
50,3824,,0.1622879058122635
50,3824,0.1911625862121582,
51,3899,,0.1628515124320984
51,3899,0.19625359773635864,
52,3974,,0.15851306915283203
52,3974,0.173990398645401,
53,4049,,0.15819698572158813
53,4049,0.15576492249965668,
