epoch,step,train_loss,val_loss
0,74,,2.36822509765625
0,74,7.857507228851318,
1,149,,1.9666541814804077
1,149,2.114320993423462,
2,224,,1.52621591091156
2,224,1.6605353355407715,
3,299,,1.3092669248580933
3,299,1.3846995830535889,
4,374,,1.237743616104126
4,374,1.2066845893859863,
5,449,,1.031775712966919
5,449,1.093869686126709,
6,524,,0.8420453071594238
6,524,0.9997682571411133,
7,599,,0.806954562664032
7,599,0.8569322824478149,
8,674,,0.665006697177887
8,674,0.786925733089447,
9,749,,0.6452628374099731
9,749,0.7040106654167175,
10,824,,0.527670681476593
10,824,0.6092624664306641,
11,899,,0.3728906810283661
11,899,0.4791468381881714,
12,974,,0.363394558429718
12,974,0.4224660396575928,
13,1049,,0.7720348238945007
13,1049,0.8350363373756409,
14,1124,,0.4578319489955902
14,1124,0.5561654567718506,
15,1199,,0.34252241253852844
15,1199,0.4675282835960388,
16,1274,,0.28537094593048096
16,1274,0.36532920598983765,
17,1349,,0.3437194228172302
17,1349,0.3476649820804596,
18,1424,,0.2340359389781952
18,1424,0.30473780632019043,
19,1499,,0.21662993729114532
19,1499,0.25479862093925476,
20,1574,,0.19884531199932098
20,1574,0.22922775149345398,
21,1649,,0.1883218139410019
21,1649,0.2187904566526413,
22,1724,,0.19542185962200165
22,1724,0.21476422250270844,
23,1799,,0.18164338171482086
23,1799,0.20479877293109894,
24,1874,,0.17399409413337708
24,1874,0.18451730906963348,
25,1949,,0.1675863116979599
25,1949,0.17816680669784546,
26,2024,,0.6107305288314819
26,2024,0.28647080063819885,
27,2099,,0.17959003150463104
27,2099,0.3010662794113159,
28,2174,,0.15593267977237701
28,2174,0.19764253497123718,
29,2249,,0.1433486044406891
29,2249,0.1680939495563507,
30,2324,,0.3078076243400574
30,2324,0.2179308533668518,
31,2399,,0.1494445502758026
31,2399,0.22679367661476135,
32,2474,,0.16588857769966125
32,2474,0.14187555015087128,
33,2549,,0.13708524405956268
33,2549,0.14434413611888885,
34,2624,,0.13408002257347107
34,2624,0.13815511763095856,
35,2699,,0.14075231552124023
35,2699,0.13337336480617523,
36,2774,,0.1327286660671234
36,2774,0.12648513913154602,
37,2849,,0.12901964783668518
37,2849,0.11726567894220352,
38,2924,,0.1353120505809784
38,2924,0.1104385256767273,
39,2999,,0.1495705395936966
39,2999,0.12030286341905594,
40,3074,,0.16953279078006744
40,3074,0.11469005793333054,
41,3149,,0.1308424174785614
41,3149,0.17833322286605835,
42,3224,,0.11434201896190643
42,3224,0.11424782872200012,
43,3299,,0.11176973581314087
43,3299,0.09910021722316742,
44,3374,,0.14939503371715546
44,3374,0.0890897884964943,
45,3449,,0.13996048271656036
45,3449,0.28781747817993164,
46,3524,,0.0992189273238182
46,3524,0.11652113497257233,
47,3599,,0.09524299204349518
47,3599,0.09260700643062592,
48,3674,,0.09415071457624435
48,3674,0.08392791450023651,
49,3749,,0.08669467270374298
49,3749,0.07878807187080383,
50,3824,,0.08704790472984314
50,3824,0.0775972530245781,
51,3899,,0.1124315857887268
51,3899,0.0789690688252449,
