epoch,step,train_loss,val_loss
0,74,,2.2080111503601074
0,74,6.000470161437988,
1,149,,1.876845359802246
1,149,2.053412437438965,
2,224,,1.354738473892212
2,224,1.6423888206481934,
3,299,,0.9481902122497559
3,299,1.1588371992111206,
4,374,,0.894477367401123
4,374,0.9807055592536926,
5,449,,0.787494957447052
5,449,0.8684529662132263,
6,524,,0.6295771598815918
6,524,0.8144945502281189,
7,599,,0.6133672595024109
7,599,0.8456050753593445,
8,674,,0.42107391357421875
8,674,0.575442373752594,
9,749,,0.3768566846847534
9,749,0.4628623425960541,
10,824,,0.3472597897052765
10,824,0.5366516709327698,
11,899,,0.31319963932037354
11,899,0.39608529210090637,
12,974,,0.28916940093040466
12,974,0.33238840103149414,
13,1049,,0.3346649706363678
13,1049,0.32287105917930603,
14,1124,,0.3017351031303406
14,1124,0.32426655292510986,
15,1199,,0.28147339820861816
15,1199,0.29756298661231995,
16,1274,,0.28101658821105957
16,1274,0.29390063881874084,
17,1349,,0.2751174569129944
17,1349,0.28673961758613586,
18,1424,,0.28011223673820496
18,1424,0.2743695080280304,
19,1499,,0.2585374712944031
19,1499,0.27720120549201965,
20,1574,,0.2546289563179016
20,1574,0.27478665113449097,
21,1649,,0.2410946786403656
21,1649,0.28265810012817383,
22,1724,,0.25263988971710205
22,1724,0.24677444994449615,
23,1799,,0.2861228883266449
23,1799,0.2801753580570221,
24,1874,,0.22124305367469788
24,1874,0.2560478746891022,
25,1949,,0.2373860627412796
25,1949,0.2505039572715759,
26,2024,,0.2421993911266327
26,2024,0.2520831823348999,
27,2099,,0.2283104956150055
27,2099,0.2772047221660614,
28,2174,,0.25809410214424133
28,2174,0.2805056869983673,
29,2249,,0.28208833932876587
29,2249,0.2574929893016815,
30,2324,,0.2561367154121399
30,2324,0.23619309067726135,
31,2399,,0.19582509994506836
31,2399,0.21162904798984528,
32,2474,,0.295691579580307
32,2474,0.22731827199459076,
33,2549,,0.20563046634197235
33,2549,0.2711687386035919,
34,2624,,0.21264810860157013
34,2624,0.21567530930042267,
35,2699,,0.19596442580223083
35,2699,0.22199440002441406,
36,2774,,0.2812075912952423
36,2774,0.18585725128650665,
37,2849,,0.1718718409538269
37,2849,0.1966845542192459,
38,2924,,0.30659517645835876
38,2924,0.5982581973075867,
39,2999,,0.18784473836421967
39,2999,0.2461758702993393,
40,3074,,0.1796027570962906
