epoch,step,train_loss,val_loss
0,74,,0.6250516176223755
0,74,5.94256067276001,
1,149,,0.16184106469154358
1,149,0.3005395531654358,
2,224,,0.1052825078368187
2,224,0.1319120079278946,
3,299,,0.08788059651851654
3,299,0.10032057017087936,
4,374,,0.07579771429300308
4,374,0.0843176618218422,
5,449,,0.10039383172988892
5,449,0.08058857917785645,
6,524,,0.060038961470127106
6,524,0.07522076368331909,
7,599,,0.06487072259187698
7,599,0.061972931027412415,
8,674,,0.06305157393217087
8,674,0.07819333672523499,
9,749,,0.047385070472955704
9,749,0.053171128034591675,
10,824,,0.04528151825070381
10,824,0.0465182326734066,
11,899,,0.03919582441449165
11,899,0.04642229154706001,
12,974,,0.03786333650350571
12,974,0.04282841086387634,
13,1049,,0.04017988592386246
13,1049,0.04032154381275177,
14,1124,,0.06411266326904297
14,1124,0.03680480271577835,
15,1199,,0.03424748778343201
15,1199,0.03277422487735748,
16,1274,,0.028581440448760986
16,1274,0.03271584212779999,
17,1349,,0.02677811123430729
17,1349,0.033116910606622696,
18,1424,,0.026048380881547928
18,1424,0.029519760981202126,
19,1499,,0.03685421496629715
19,1499,0.027785440906882286,
20,1574,,0.027795663103461266
20,1574,0.027559200301766396,
21,1649,,0.031275514513254166
21,1649,0.0263008251786232,
22,1724,,0.03452342003583908
22,1724,0.023947855457663536,
23,1799,,0.029517922550439835
23,1799,0.024034349247813225,
24,1874,,0.035728879272937775
24,1874,0.022596709430217743,
25,1949,,0.02872193418443203
25,1949,0.021595561876893044,
26,2024,,0.023685239255428314
26,2024,0.022079873830080032,
27,2099,,0.026239249855279922
27,2099,0.01938421092927456,
28,2174,,0.018473604694008827
28,2174,0.020338714122772217,
29,2249,,0.027238786220550537
29,2249,0.01970703899860382,
30,2324,,0.020097967237234116
30,2324,0.017702439799904823,
31,2399,,0.017781343311071396
31,2399,0.019632983952760696,
32,2474,,0.02201717533171177
32,2474,0.017346059903502464,
33,2549,,0.019771134480834007
33,2549,0.018045738339424133,
34,2624,,0.020629966631531715
34,2624,0.01754092052578926,
35,2699,,0.01993032917380333
35,2699,0.017071383073925972,
36,2774,,0.018928024917840958
36,2774,0.01712914928793907,
37,2849,,0.019817566499114037
37,2849,0.016802968457341194,
38,2924,,0.0180994663387537
38,2924,0.016381267458200455,
39,2999,,0.01822984218597412
39,2999,0.016793321818113327,
40,3074,,0.018815211951732635
40,3074,0.016038162633776665,
41,3149,,0.017960159108042717
41,3149,0.016185062006115913,
42,3224,,0.019187139347195625
42,3224,0.016098611056804657,
43,3299,,0.01822812110185623
43,3299,0.015768738463521004,
44,3374,,0.019810141995549202
44,3374,0.01582890748977661,
45,3449,,0.01830560714006424
45,3449,0.015723049640655518,
46,3524,,0.02061774954199791
46,3524,0.01586570404469967,
47,3599,,0.016157817095518112
47,3599,0.015474652871489525,
48,3674,,0.022187160328030586
48,3674,0.01608174853026867,
49,3749,,0.014965769834816456
49,3749,0.015408817678689957,
50,3824,,0.019879844039678574
50,3824,0.0157155878841877,
51,3899,,0.013439586386084557
51,3899,0.01476468425244093,
52,3974,,0.012662850320339203
52,3974,0.013788131065666676,
53,4049,,0.012372644618153572
53,4049,0.013489866629242897,
54,4124,,0.012376057915389538
54,4124,0.013301423750817776,
55,4199,,0.012396708130836487
55,4199,0.013148424215614796,
56,4274,,0.012485375627875328
56,4274,0.013221031986176968,
57,4349,,0.012494321912527084
57,4349,0.013001317158341408,
58,4424,,0.012784813530743122
58,4424,0.013098286464810371,
59,4499,,0.01246587373316288
59,4499,0.0128589803352952,
60,4574,,0.012292561121284962
60,4574,0.013202362693846226,
61,4649,,0.011871568858623505
61,4649,0.01294798869639635,
62,4724,,0.011722623370587826
