epoch,step,train_loss,val_loss
0,74,,7.674345970153809
0,74,17.52943229675293,
1,149,,3.788862705230713
1,149,5.854626655578613,
2,224,,2.616651773452759
2,224,3.253009796142578,
3,299,,2.25305438041687
3,299,2.4225351810455322,
4,374,,2.146578550338745
4,374,2.182734966278076,
5,449,,2.125196933746338
5,449,2.109497547149658,
6,524,,2.0441412925720215
6,524,2.0584375858306885,
7,599,,2.0104892253875732
7,599,2.013733148574829,
8,674,,1.987296462059021
8,674,1.9865018129348755,
9,749,,1.9795620441436768
9,749,1.9669034481048584,
10,824,,1.90555739402771
10,824,1.9389334917068481,
11,899,,1.8553781509399414
11,899,1.869048833847046,
12,974,,1.8129384517669678
12,974,1.825616717338562,
13,1049,,1.7663660049438477
13,1049,1.780216097831726,
14,1124,,1.6953818798065186
14,1124,1.7198628187179565,
15,1199,,1.6415777206420898
15,1199,1.6569904088974,
16,1274,,1.550173044204712
16,1274,1.5835444927215576,
17,1349,,1.4610458612442017
17,1349,1.4726184606552124,
18,1424,,1.2909198999404907
18,1424,1.3044238090515137,
19,1499,,1.114134669303894
19,1499,1.141872763633728,
20,1574,,0.9633656740188599
20,1574,1.0028468370437622,
21,1649,,0.8665234446525574
21,1649,0.8864304423332214,
22,1724,,0.7731326818466187
22,1724,0.797460675239563,
23,1799,,0.6905944347381592
23,1799,0.7202270030975342,
24,1874,,0.6159372329711914
24,1874,0.649701714515686,
25,1949,,0.5596582293510437
25,1949,0.5988807678222656,
26,2024,,0.5280516147613525
26,2024,0.5437335968017578,
27,2099,,0.5045000314712524
27,2099,0.5177577137947083,
28,2174,,0.4753221869468689
28,2174,0.49260106682777405,
29,2249,,0.45693960785865784
29,2249,0.47424453496932983,
30,2324,,0.4399116039276123
30,2324,0.4565141797065735,
31,2399,,0.44417113065719604
31,2399,0.44557657837867737,
32,2474,,0.4204433560371399
32,2474,0.4374779760837555,
33,2549,,0.42285436391830444
33,2549,0.42893800139427185,
34,2624,,0.41508784890174866
34,2624,0.4225907325744629,
35,2699,,0.4138452112674713
35,2699,0.4146610200405121,
36,2774,,0.40564098954200745
36,2774,0.4085240364074707,
37,2849,,0.3967137336730957
37,2849,0.40587764978408813,
38,2924,,0.38782551884651184
38,2924,0.3988579213619232,
39,2999,,0.3861420750617981
39,2999,0.3927219808101654,
40,3074,,0.38636335730552673
40,3074,0.38997477293014526,
41,3149,,0.3812153935432434
41,3149,0.38739413022994995,
42,3224,,0.3760600686073303
42,3224,0.38132762908935547,
43,3299,,0.3702756464481354
43,3299,0.3796728551387787,
44,3374,,0.36912864446640015
44,3374,0.37418127059936523,
45,3449,,0.36414289474487305
45,3449,0.3702864646911621,
46,3524,,0.36172088980674744
46,3524,0.36751359701156616,
47,3599,,0.35753384232521057
47,3599,0.36456868052482605,
48,3674,,0.3518039286136627
48,3674,0.3579257130622864,
49,3749,,0.34841182827949524
49,3749,0.3533768355846405,
50,3824,,0.2936440706253052
50,3824,0.3358950912952423,
51,3899,,0.28456228971481323
51,3899,0.305473268032074,
52,3974,,0.256458580493927
52,3974,0.2848362624645233,
53,4049,,0.24801480770111084
53,4049,0.2681693732738495,
54,4124,,0.24329300224781036
54,4124,0.2599009573459625,
55,4199,,0.23580479621887207
55,4199,0.2489963322877884,
56,4274,,0.23290982842445374
56,4274,0.2414597123861313,
57,4349,,0.22365181148052216
57,4349,0.23216211795806885,
58,4424,,0.21981406211853027
58,4424,0.2248520404100418,
59,4499,,0.21473030745983124
59,4499,0.21939414739608765,
60,4574,,0.2100915014743805
60,4574,0.21377329528331757,
61,4649,,0.2067628651857376
61,4649,0.20911455154418945,
62,4724,,0.20024541020393372
62,4724,0.20619556307792664,
63,4799,,0.19410619139671326
63,4799,0.19866348803043365,
64,4874,,0.18955937027931213
64,4874,0.1939930021762848,
65,4949,,0.18529585003852844
65,4949,0.19022148847579956,
66,5024,,0.18435446918010712
66,5024,0.1889737993478775,
67,5099,,0.18134216964244843
67,5099,0.1834830343723297,
68,5174,,0.17738650739192963
68,5174,0.181764617562294,
69,5249,,0.1766616404056549
69,5249,0.17832694947719574,
70,5324,,0.17331138253211975
70,5324,0.17581181228160858,
71,5399,,0.1713070571422577
71,5399,0.172882542014122,
72,5474,,0.16783316433429718
72,5474,0.17094503343105316,
73,5549,,0.16673031449317932
73,5549,0.16847029328346252,
74,5624,,0.16685454547405243
74,5624,0.1665896624326706,
75,5699,,0.16287176311016083
75,5699,0.16383805871009827,
76,5774,,0.16204124689102173
76,5774,0.16202038526535034,
77,5849,,0.16130052506923676
77,5849,0.16041316092014313,
78,5924,,0.1603769063949585
78,5924,0.15780217945575714,
79,5999,,0.158895343542099
79,5999,0.15511572360992432,
80,6074,,0.15732891857624054
80,6074,0.15366972982883453,
81,6149,,0.15604856610298157
81,6149,0.15110117197036743,
82,6224,,0.1569218784570694
82,6224,0.15045808255672455,
83,6299,,0.15619447827339172
83,6299,0.14803753793239594,
84,6374,,0.15414521098136902
84,6374,0.14608588814735413,
85,6449,,0.15504536032676697
85,6449,0.14477066695690155,
86,6524,,0.15342994034290314
86,6524,0.14298665523529053,
87,6599,,0.15346303582191467
87,6599,0.14192689955234528,
88,6674,,0.15073496103286743
88,6674,0.14021435379981995,
89,6749,,0.15028220415115356
89,6749,0.1399344503879547,
90,6824,,0.1521189957857132
90,6824,0.13865205645561218,
91,6899,,0.14815840125083923
91,6899,0.13719674944877625,
92,6974,,0.14613422751426697
92,6974,0.13695088028907776,
93,7049,,0.14839023351669312
93,7049,0.1350627839565277,
94,7124,,0.14405781030654907
94,7124,0.13396798074245453,
95,7199,,0.14448916912078857
95,7199,0.13208359479904175,
96,7274,,0.14225637912750244
96,7274,0.1321745365858078,
97,7349,,0.14274659752845764
97,7349,0.12994036078453064,
98,7424,,0.14090026915073395
98,7424,0.12953774631023407,
99,7499,,0.1414290964603424
99,7499,0.12711000442504883,
100,7574,,0.13774356245994568
100,7574,0.12672308087348938,
101,7649,,0.13957346975803375
101,7649,0.1254853755235672,
102,7724,,0.13633325695991516
102,7724,0.1238711029291153,
103,7799,,0.13821561634540558
103,7799,0.12247391790151596,
104,7874,,0.13743874430656433
104,7874,0.12291356176137924,
105,7949,,0.13369476795196533
105,7949,0.12202433496713638,
106,8024,,0.13541170954704285
106,8024,0.12205620110034943,
107,8099,,0.13556472957134247
107,8099,0.11899210512638092,
108,8174,,0.13234876096248627
108,8174,0.11845889687538147,
109,8249,,0.1344616711139679
109,8249,0.11778592318296432,
110,8324,,0.1281963586807251
110,8324,0.11659400910139084,
111,8399,,0.13031712174415588
111,8399,0.11636847257614136,
112,8474,,0.13190165162086487
112,8474,0.11500588804483414,
113,8549,,0.12976065278053284
113,8549,0.11420654505491257,
114,8624,,0.12965738773345947
114,8624,0.1154184490442276,
115,8699,,0.12948986887931824
115,8699,0.11390991508960724,
116,8774,,0.12847451865673065
116,8774,0.11303464323282242,
117,8849,,0.1278022974729538
117,8849,0.11205311119556427,
118,8924,,0.12830598652362823
118,8924,0.11125154793262482,
119,8999,,0.12796716392040253
119,8999,0.11016339808702469,
120,9074,,0.12622837722301483
120,9074,0.10828644782304764,
121,9149,,0.12571518123149872
121,9149,0.1086149588227272,
122,9224,,0.12327953428030014
122,9224,0.10684032738208771,
123,9299,,0.12238429486751556
123,9299,0.1054408848285675,
124,9374,,0.12387154251337051
124,9374,0.1042623445391655,
125,9449,,0.12209459394216537
125,9449,0.10550914704799652,
126,9524,,0.12126932293176651
126,9524,0.10357693582773209,
127,9599,,0.1236119270324707
127,9599,0.10508135706186295,
128,9674,,0.1207069531083107
128,9674,0.10240297019481659,
129,9749,,0.12026171386241913
129,9749,0.10321065038442612,
130,9824,,0.11944180727005005
130,9824,0.10133755952119827,
131,9899,,0.11677172034978867
131,9899,0.10046233236789703,
132,9974,,0.11638367176055908
132,9974,0.10148005187511444,
133,10049,,0.11846734583377838
133,10049,0.10115722566843033,
134,10124,,0.11629851907491684
134,10124,0.09837152808904648,
135,10199,,0.11433801800012589
135,10199,0.09690187126398087,
136,10274,,0.11295595020055771
136,10274,0.09648589044809341,
137,10349,,0.11067788302898407
137,10349,0.09577431529760361,
138,10424,,0.10953918844461441
138,10424,0.09628883004188538,
139,10499,,0.11296367645263672
139,10499,0.09478363394737244,
140,10574,,0.11085081100463867
140,10574,0.0950898826122284,
141,10649,,0.1086764708161354
141,10649,0.09320148080587387,
142,10724,,0.11123567819595337
142,10724,0.09372519701719284,
143,10799,,0.1070985347032547
143,10799,0.09304735064506531,
144,10874,,0.1068909764289856
144,10874,0.0916241779923439,
145,10949,,0.10745269060134888
145,10949,0.09132127463817596,
146,11024,,0.1063578724861145
146,11024,0.08984970301389694,
147,11099,,0.10583923757076263
147,11099,0.09173217415809631,
148,11174,,0.10545095056295395
148,11174,0.09074477851390839,
149,11249,,0.10499195009469986
149,11249,0.08941702544689178,
150,11324,,0.10435954481363297
150,11324,0.0885075107216835,
151,11399,,0.10713176429271698
151,11399,0.088634192943573,
152,11474,,0.1018391028046608
152,11474,0.08859023451805115,
153,11549,,0.10325459390878677
153,11549,0.08799175918102264,
154,11624,,0.10283788293600082
154,11624,0.08703594654798508,
155,11699,,0.10345993936061859
155,11699,0.08871160447597504,
156,11774,,0.10079823434352875
156,11774,0.08562365919351578,
157,11849,,0.10344543308019638
157,11849,0.08858149498701096,
158,11924,,0.10161469876766205
158,11924,0.08664792031049728,
159,11999,,0.10222718864679337
159,11999,0.08634737133979797,
160,12074,,0.09957917779684067
160,12074,0.08697613328695297,
161,12149,,0.09932045638561249
161,12149,0.08375213295221329,
162,12224,,0.09856508672237396
162,12224,0.08586452156305313,
163,12299,,0.09940719604492188
163,12299,0.08657510578632355,
164,12374,,0.09964276850223541
164,12374,0.08428292721509933,
165,12449,,0.10052169859409332
165,12449,0.0836225375533104,
166,12524,,0.09889014065265656
166,12524,0.08296496421098709,
167,12599,,0.09801697731018066
167,12599,0.08228308707475662,
168,12674,,0.09664846956729889
168,12674,0.08294796943664551,
169,12749,,0.09731066972017288
169,12749,0.08247394114732742,
170,12824,,0.09704228490591049
170,12824,0.08207668364048004,
171,12899,,0.10535754263401031
171,12899,0.08186494559049606,
172,12974,,0.09646466374397278
172,12974,0.08308053016662598,
173,13049,,0.09699998050928116
173,13049,0.08185580372810364,
174,13124,,0.09580772370100021
174,13124,0.08208496123552322,
175,13199,,0.09619167447090149
175,13199,0.07860447466373444,
176,13274,,0.09403207153081894
176,13274,0.07999628037214279,
177,13349,,0.09542439877986908
177,13349,0.07990400493144989,
178,13424,,0.09636210650205612
178,13424,0.08233878761529922,
179,13499,,0.0936959907412529
179,13499,0.07996907085180283,
180,13574,,0.09993176907300949
180,13574,0.07900607585906982,
181,13649,,0.09892217069864273
181,13649,0.08076956123113632,
182,13724,,0.09345680475234985
182,13724,0.0779208093881607,
183,13799,,0.09222734719514847
183,13799,0.07868901640176773,
184,13874,,0.09116440266370773
184,13874,0.07814876735210419,
185,13949,,0.09211347252130508
185,13949,0.07745354622602463,
186,14024,,0.09299997240304947
186,14024,0.0773518905043602,
187,14099,,0.09188313782215118
187,14099,0.0769326463341713,
188,14174,,0.0893959254026413
188,14174,0.07906608283519745,
189,14249,,0.09037352353334427
189,14249,0.0773429423570633,
190,14324,,0.090053990483284
190,14324,0.07660450041294098,
191,14399,,0.09033050388097763
191,14399,0.07639140635728836,
192,14474,,0.08918501436710358
192,14474,0.07711304724216461,
193,14549,,0.09326688945293427
193,14549,0.07697537541389465,
194,14624,,0.08757719397544861
194,14624,0.07755418866872787,
195,14699,,0.08887967467308044
195,14699,0.07717007398605347,
196,14774,,0.08825425803661346
196,14774,0.0765414908528328,
197,14849,,0.08759091049432755
197,14849,0.0745164081454277,
198,14924,,0.08995649218559265
198,14924,0.0736767128109932,
199,14999,,0.08804620057344437
199,14999,0.07433725148439407,
200,15074,,0.0855155736207962
200,15074,0.07506950199604034,
201,15149,,0.084498830139637
201,15149,0.07382337003946304,
202,15224,,0.08778996765613556
202,15224,0.07379323244094849,
203,15299,,0.08447356522083282
203,15299,0.07354345917701721,
204,15374,,0.09165838360786438
204,15374,0.07614545524120331,
205,15449,,0.0865371897816658
205,15449,0.07464316487312317,
206,15524,,0.08934015035629272
206,15524,0.07208282500505447,
207,15599,,0.08999135345220566
207,15599,0.07290691882371902,
208,15674,,0.0866900309920311
208,15674,0.07463409751653671,
209,15749,,0.08453305065631866
209,15749,0.07177767157554626,
210,15824,,0.08569249510765076
210,15824,0.07112777978181839,
211,15899,,0.08482520282268524
211,15899,0.07363416999578476,
212,15974,,0.08542747795581818
212,15974,0.0716075599193573,
213,16049,,0.0836704820394516
213,16049,0.07032804191112518,
214,16124,,0.08771726489067078
214,16124,0.07231195271015167,
215,16199,,0.08430682867765427
215,16199,0.0724112018942833,
216,16274,,0.08135755360126495
216,16274,0.07064938545227051,
217,16349,,0.08091636747121811
217,16349,0.06889056414365768,
218,16424,,0.08319685608148575
218,16424,0.07004659622907639,
219,16499,,0.08496959507465363
219,16499,0.06907451897859573,
220,16574,,0.08184851706027985
220,16574,0.06989818066358566,
221,16649,,0.07985226809978485
221,16649,0.06832538545131683,
222,16724,,0.0812678262591362
222,16724,0.06757842004299164,
223,16799,,0.07953174412250519
223,16799,0.06974317878484726,
224,16874,,0.08062833547592163
224,16874,0.06801243871450424,
225,16949,,0.07757719606161118
225,16949,0.06747163087129593,
226,17024,,0.08289884030818939
226,17024,0.07159716635942459,
227,17099,,0.07925105839967728
227,17099,0.06809701770544052,
228,17174,,0.07855671644210815
228,17174,0.06593601405620575,
229,17249,,0.07628411054611206
229,17249,0.0669037327170372,
230,17324,,0.08082884550094604
230,17324,0.06694383919239044,
231,17399,,0.0779939591884613
231,17399,0.0649745911359787,
232,17474,,0.08231306076049805
232,17474,0.06846272945404053,
233,17549,,0.07870478928089142
233,17549,0.06578394025564194,
234,17624,,0.07585872709751129
234,17624,0.06438574194908142,
235,17699,,0.07644400745630264
235,17699,0.06481992453336716,
236,17774,,0.07626298815011978
236,17774,0.06431088596582413,
237,17849,,0.0747038871049881
237,17849,0.06441938132047653,
238,17924,,0.07612258195877075
238,17924,0.06523941457271576,
239,17999,,0.07809362560510635
239,17999,0.06650415807962418,
240,18074,,0.07592853903770447
240,18074,0.06876937299966812,
241,18149,,0.07756076753139496
241,18149,0.06725311279296875,
242,18224,,0.07507571578025818
242,18224,0.0638858750462532,
243,18299,,0.07349975407123566
243,18299,0.0629221498966217,
244,18374,,0.07208935916423798
244,18374,0.06228726729750633,
245,18449,,0.07726973295211792
245,18449,0.0653914213180542,
246,18524,,0.07177061587572098
246,18524,0.06404118239879608,
247,18599,,0.0718110129237175
247,18599,0.06166033446788788,
248,18674,,0.07427555322647095
248,18674,0.06309634447097778,
249,18749,,0.071980781853199
249,18749,0.0629878044128418,
250,18824,,0.06976886093616486
250,18824,0.06252507865428925,
251,18899,,0.07413197308778763
251,18899,0.06286343187093735,
252,18974,,0.07084546983242035
252,18974,0.062889464199543,
253,19049,,0.07225257158279419
253,19049,0.062148768454790115,
254,19124,,0.06925979256629944
254,19124,0.0626429095864296,
255,19199,,0.0707663893699646
255,19199,0.06386153399944305,
256,19274,,0.06902274489402771
256,19274,0.06113671511411667,
257,19349,,0.06869513541460037
257,19349,0.06136705353856087,
258,19424,,0.06762485206127167
258,19424,0.060815658420324326,
259,19499,,0.07344801723957062
259,19499,0.06297336518764496,
260,19574,,0.06838437169790268
260,19574,0.06369217485189438,
261,19649,,0.07139325141906738
261,19649,0.061179619282484055,
262,19724,,0.06748399883508682
262,19724,0.06117158755660057,
263,19799,,0.06627646088600159
263,19799,0.06062419340014458,
264,19874,,0.0752512663602829
264,19874,0.06457002460956573,
265,19949,,0.0713689848780632
265,19949,0.06519404798746109,
266,20024,,0.07197529077529907
266,20024,0.0628240704536438,
267,20099,,0.07546082139015198
267,20099,0.06398368626832962,
268,20174,,0.07501266896724701
268,20174,0.06185491010546684,
269,20249,,0.07180298119783401
269,20249,0.05857643857598305,
270,20324,,0.06933441758155823
270,20324,0.05940859019756317,
271,20399,,0.0675768107175827
271,20399,0.0597146600484848,
272,20474,,0.06667733937501907
272,20474,0.06002604216337204,
273,20549,,0.07305282354354858
273,20549,0.061331767588853836,
274,20624,,0.07254306972026825
274,20624,0.06562724709510803,
275,20699,,0.07602864503860474
275,20699,0.06527210026979446,
276,20774,,0.07690262794494629
276,20774,0.05858214199542999,
277,20849,,0.06903524696826935
277,20849,0.06120388209819794,
278,20924,,0.07371316105127335
278,20924,0.061671968549489975,
279,20999,,0.07179071754217148
279,20999,0.05882233753800392,
280,21074,,0.07449068129062653
280,21074,0.058613136410713196,
281,21149,,0.07413720339536667
281,21149,0.05704185366630554,
282,21224,,0.0725494921207428
282,21224,0.0571102648973465,
283,21299,,0.06918530911207199
283,21299,0.05754191055893898,
284,21374,,0.06954199075698853
284,21374,0.05712462589144707,
285,21449,,0.07043714821338654
285,21449,0.05601439252495766,
286,21524,,0.07026597857475281
286,21524,0.056188423186540604,
287,21599,,0.07103414833545685
287,21599,0.056283656507730484,
288,21674,,0.06909244507551193
288,21674,0.05585486814379692,
289,21749,,0.06784151494503021
289,21749,0.05542082339525223,
290,21824,,0.06793833523988724
290,21824,0.055172208696603775,
291,21899,,0.0656760185956955
291,21899,0.05558055266737938,
292,21974,,0.06678073108196259
292,21974,0.05630485713481903,
293,22049,,0.06727169454097748
293,22049,0.05507199466228485,
294,22124,,0.06686577945947647
294,22124,0.055699944496154785,
295,22199,,0.06577315181493759
295,22199,0.05608198791742325,
296,22274,,0.06331571191549301
296,22274,0.05557684600353241,
297,22349,,0.06299205124378204
297,22349,0.05537289381027222,
298,22424,,0.06674390286207199
298,22424,0.06005539745092392,
