epoch,step,train_loss,val_loss
0,74,,2.894775867462158
0,74,10.258111000061035,
1,149,,2.2772796154022217
1,149,2.4127981662750244,
2,224,,2.1565730571746826
2,224,2.1855337619781494,
3,299,,2.105900287628174
3,299,2.125899314880371,
4,374,,2.087221622467041
4,374,2.098508358001709,
5,449,,2.0802202224731445
5,449,2.082974672317505,
6,524,,2.0314202308654785
6,524,2.063469171524048,
7,599,,2.000694751739502
7,599,2.033968448638916,
8,674,,1.9820175170898438
8,674,2.0059847831726074,
9,749,,1.951745629310608
9,749,1.970092535018921,
10,824,,1.9049879312515259
10,824,1.931824803352356,
11,899,,1.8306968212127686
11,899,1.877854824066162,
12,974,,1.2665417194366455
12,974,1.5160138607025146,
13,1049,,1.0307576656341553
13,1049,1.0768547058105469,
14,1124,,0.8364927172660828
14,1124,0.8598385453224182,
15,1199,,0.6001107096672058
15,1199,0.685226321220398,
16,1274,,0.5373000502586365
16,1274,0.7297117710113525,
17,1349,,0.4696143567562103
17,1349,0.5466462969779968,
18,1424,,0.40109896659851074
18,1424,0.4544696509838104,
19,1499,,0.3407277464866638
19,1499,0.39755362272262573,
20,1574,,0.34306445717811584
20,1574,0.36252325773239136,
21,1649,,0.2828650176525116
21,1649,0.32147157192230225,
22,1724,,0.3602007031440735
22,1724,0.30899226665496826,
23,1799,,0.2588813900947571
23,1799,0.2792128324508667,
24,1874,,0.3006468713283539
24,1874,0.2679969072341919,
25,1949,,0.2662784457206726
25,1949,0.2528281509876251,
26,2024,,0.24117465317249298
26,2024,0.23609338700771332,
27,2099,,0.20881012082099915
27,2099,0.21042169630527496,
28,2174,,0.19706201553344727
28,2174,0.20049212872982025,
29,2249,,0.2051728516817093
29,2249,0.2121284157037735,
30,2324,,0.19759421050548553
30,2324,0.1823154091835022,
31,2399,,0.19864848256111145
31,2399,0.1851872056722641,
32,2474,,0.17505992949008942
32,2474,0.17554692924022675,
33,2549,,0.19291578233242035
33,2549,0.16008347272872925,
34,2624,,0.18987199664115906
34,2624,0.1613267958164215,
35,2699,,0.18402579426765442
35,2699,0.1558251976966858,
36,2774,,0.18633802235126495
36,2774,0.14936810731887817,
37,2849,,0.21834483742713928
37,2849,0.16979914903640747,
38,2924,,0.1606176346540451
38,2924,0.1448977142572403,
39,2999,,0.1616487205028534
39,2999,0.12641680240631104,
40,3074,,0.17054471373558044
40,3074,0.12507545948028564,
41,3149,,0.1633753478527069
41,3149,0.12906980514526367,
42,3224,,0.15337428450584412
42,3224,0.1245863065123558,
43,3299,,0.1577639877796173
43,3299,0.11837366968393326,
44,3374,,0.13576675951480865
44,3374,0.12242721766233444,
