epoch,step,train_loss,val_loss
0,74,,2.374453067779541
0,74,7.416987895965576,
1,149,,1.9928287267684937
1,149,2.189622163772583,
2,224,,1.7220170497894287
2,224,1.9488366842269897,
3,299,,1.1162567138671875
3,299,1.348118543624878,
4,374,,0.8941017985343933
4,374,1.0311084985733032,
5,449,,0.8517138361930847
5,449,0.9546955227851868,
6,524,,0.7750087380409241
6,524,0.8610592484474182,
7,599,,0.7378473877906799
7,599,0.8356463313102722,
8,674,,0.7648636102676392
8,674,0.80144864320755,
9,749,,0.6740853786468506
9,749,0.7452841401100159,
10,824,,0.7269018888473511
10,824,0.6589034795761108,
11,899,,0.5980105996131897
11,899,0.5535324215888977,
12,974,,0.44421258568763733
12,974,0.47113966941833496,
13,1049,,0.5232104063034058
13,1049,0.4544353187084198,
14,1124,,0.4657309949398041
14,1124,0.4194272458553314,
15,1199,,0.5067582130432129
15,1199,0.3868124783039093,
16,1274,,0.5289558172225952
16,1274,0.3977839946746826,
17,1349,,0.3899141848087311
17,1349,0.34672096371650696,
18,1424,,0.2722230553627014
18,1424,0.3077796995639801,
19,1499,,0.29331934452056885
19,1499,0.26985350251197815,
20,1574,,0.2373294085264206
20,1574,0.262675404548645,
21,1649,,0.21202826499938965
21,1649,0.2425861805677414,
22,1724,,0.2540574073791504
22,1724,0.21967743337154388,
23,1799,,0.20085477828979492
23,1799,0.21850697696208954,
24,1874,,0.17744094133377075
24,1874,0.19743132591247559,
25,1949,,0.2867623269557953
25,1949,0.24221909046173096,
26,2024,,0.21755996346473694
26,2024,0.22492077946662903,
27,2099,,0.19245412945747375
27,2099,0.198693186044693,
28,2174,,0.16759011149406433
28,2174,0.19208279252052307,
29,2249,,0.15955446660518646
29,2249,0.18296590447425842,
30,2324,,0.16692125797271729
30,2324,0.18435335159301758,
31,2399,,0.1800977885723114
31,2399,0.17016920447349548,
32,2474,,0.18536755442619324
32,2474,0.16046921908855438,
33,2549,,0.2422408163547516
33,2549,0.19447782635688782,
34,2624,,0.15209105610847473
34,2624,0.16448645293712616,
35,2699,,0.14489714801311493
35,2699,0.1471550613641739,
36,2774,,0.1464298963546753
36,2774,0.1453569084405899,
37,2849,,0.16021594405174255
37,2849,0.14065416157245636,
38,2924,,0.14766019582748413
38,2924,0.15724898874759674,
39,2999,,0.13017864525318146
39,2999,0.1315971165895462,
40,3074,,0.17491629719734192
40,3074,0.1423332244157791,
41,3149,,0.17285872995853424
41,3149,0.1357606053352356,
42,3224,,0.12595020234584808
42,3224,0.11969546973705292,
43,3299,,0.13479550182819366
43,3299,0.11357074975967407,
44,3374,,0.1154748797416687
44,3374,0.11909230798482895,
45,3449,,0.11258827149868011
45,3449,0.11326713860034943,
46,3524,,0.1394926756620407
46,3524,0.12251684814691544,
47,3599,,0.13649389147758484
47,3599,0.140525683760643,
48,3674,,0.11084568500518799
48,3674,0.11546960473060608,
49,3749,,0.14886203408241272
49,3749,0.10932227969169617,
50,3824,,0.11665043979883194
50,3824,0.12007243931293488,
51,3899,,0.11862168461084366
51,3899,0.09966374933719635,
52,3974,,0.10747687518596649
52,3974,0.11029131710529327,
53,4049,,0.16572687029838562
53,4049,0.1142587661743164,
54,4124,,0.09955353289842606
54,4124,0.10965313017368317,
55,4199,,0.12565883994102478
55,4199,0.09273050725460052,
56,4274,,0.10705623775720596
56,4274,0.10673170536756516,
57,4349,,0.11439566314220428
57,4349,0.1374572217464447,
58,4424,,0.12975381314754486
58,4424,0.10943706333637238,
59,4499,,0.11600825935602188
59,4499,0.12811142206192017,
60,4574,,0.12556755542755127
60,4574,0.12620775401592255,
61,4649,,0.12082338333129883
61,4649,0.10415568947792053,
62,4724,,0.12882325053215027
62,4724,0.11583650857210159,
63,4799,,0.17373529076576233
63,4799,0.10580762475728989,
64,4874,,0.10881297290325165
64,4874,0.10034138709306717,
65,4949,,0.12177453935146332
65,4949,0.09865248948335648,
66,5024,,0.12154176086187363
66,5024,0.09717853367328644,
67,5099,,0.13227280974388123
67,5099,0.09717199951410294,
68,5174,,0.11383585631847382
68,5174,0.09294755011796951,
69,5249,,0.15885339677333832
69,5249,0.1117299497127533,
70,5324,,0.1350545883178711
70,5324,0.1087656021118164,
71,5399,,0.11599569022655487
71,5399,0.08708205819129944,
72,5474,,0.14190329611301422
72,5474,0.095626100897789,
73,5549,,0.08922790735960007
73,5549,0.09370355308055878,
74,5624,,0.1027744859457016
74,5624,0.08408831804990768,
75,5699,,0.09101904928684235
75,5699,0.07837515324354172,
76,5774,,0.09859292209148407
76,5774,0.07656455039978027,
77,5849,,0.09283457696437836
77,5849,0.08762821555137634,
78,5924,,0.135768860578537
78,5924,0.11219602078199387,
79,5999,,0.09681644290685654
79,5999,0.09667964279651642,
80,6074,,0.11925004422664642
80,6074,0.09717193245887756,
81,6149,,0.13105866312980652
81,6149,0.08257459849119186,
82,6224,,0.10175999253988266
82,6224,0.08366527408361435,
83,6299,,0.08002223819494247
83,6299,0.07771144062280655,
84,6374,,0.09030955284833908
84,6374,0.06951136887073517,
85,6449,,0.07212727516889572
85,6449,0.06500295549631119,
86,6524,,0.06861955672502518
86,6524,0.060870710760354996,
87,6599,,0.08163721859455109
87,6599,0.06276039034128189,
88,6674,,0.06674288958311081
88,6674,0.060512930154800415,
89,6749,,0.07620669156312943
89,6749,0.05590393766760826,
90,6824,,0.08496031165122986
90,6824,0.0659940242767334,
91,6899,,0.07651466876268387
91,6899,0.07325621694326401,
92,6974,,0.07960817962884903
92,6974,0.05242202430963516,
93,7049,,0.06069067865610123
93,7049,0.05110163986682892,
94,7124,,0.06939675658941269
94,7124,0.052806608378887177,
95,7199,,0.06439802795648575
95,7199,0.04995844513177872,
96,7274,,0.07035024464130402
96,7274,0.051986124366521835,
97,7349,,0.06641904264688492
97,7349,0.06080427020788193,
98,7424,,0.07887233793735504
98,7424,0.05070938542485237,
99,7499,,0.06683392077684402
99,7499,0.049285922199487686,
100,7574,,0.05929020792245865
100,7574,0.04676100239157677,
101,7649,,0.05661573261022568
101,7649,0.048698943108320236,
102,7724,,0.0617474727332592
102,7724,0.04889284446835518,
103,7799,,0.05830857902765274
103,7799,0.047727856785058975,
104,7874,,0.06416629999876022
104,7874,0.053554732352495193,
105,7949,,0.05753999948501587
105,7949,0.049335986375808716,
106,8024,,0.06288574635982513
106,8024,0.055720601230859756,
107,8099,,0.055911511182785034
107,8099,0.05508597195148468,
108,8174,,0.055267710238695145
108,8174,0.04526614397764206,
109,8249,,0.07955098152160645
109,8249,0.04277263954281807,
110,8324,,0.06890101730823517
110,8324,0.04366438463330269,
111,8399,,0.06491652876138687
111,8399,0.05059736967086792,
112,8474,,0.05724722146987915
112,8474,0.04598161578178406,
113,8549,,0.04852031543850899
113,8549,0.0477055124938488,
114,8624,,0.08066962659358978
114,8624,0.039742205291986465,
115,8699,,0.042845163494348526
115,8699,0.04487380012869835,
116,8774,,0.12843701243400574
116,8774,0.05885108932852745,
117,8849,,0.05722248554229736
117,8849,0.07510105520486832,
118,8924,,0.046240903437137604
118,8924,0.033804748207330704,
119,8999,,0.043662890791893005
119,8999,0.026149101555347443,
120,9074,,0.03910093754529953
120,9074,0.025748630985617638,
121,9149,,0.04700873792171478
121,9149,0.029043296352028847,
122,9224,,0.039771419018507004
122,9224,0.025975536555051804,
123,9299,,0.04076483100652695
123,9299,0.026816880330443382,
124,9374,,0.0574500747025013
124,9374,0.041491180658340454,
125,9449,,0.04712451249361038
125,9449,0.026620956137776375,
126,9524,,0.04837529733777046
126,9524,0.025956425815820694,
127,9599,,0.05120892450213432
127,9599,0.03077816404402256,
128,9674,,0.05023299530148506
128,9674,0.030870478600263596,
129,9749,,0.03608546406030655
129,9749,0.026588590815663338,
130,9824,,0.035751283168792725
130,9824,0.027991686016321182,
131,9899,,0.059040315449237823
131,9899,0.03859783336520195,
132,9974,,0.05172913148999214
132,9974,0.02916882559657097,
133,10049,,0.04015452414751053
133,10049,0.02578875981271267,
134,10124,,0.07292001694440842
134,10124,0.06212810426950455,
135,10199,,0.1506141573190689
135,10199,0.09363090991973877,
136,10274,,0.09479442983865738
136,10274,0.1771257519721985,
137,10349,,0.08940628916025162
137,10349,0.07835076004266739,
138,10424,,0.056909751147031784
138,10424,0.08798062801361084,
139,10499,,0.05184333771467209
139,10499,0.05345991253852844,
140,10574,,0.039807260036468506
140,10574,0.03206931799650192,
141,10649,,0.03832254558801651
141,10649,0.026752782985568047,
142,10724,,0.04066495969891548
142,10724,0.02798386849462986,
143,10799,,0.03763563185930252
143,10799,0.028603531420230865,
144,10874,,0.03321472927927971
144,10874,0.027011997997760773,
145,10949,,0.033460941165685654
145,10949,0.028522031381726265,
146,11024,,0.03392157703638077
146,11024,0.02662111632525921,
147,11099,,0.046261511743068695
147,11099,0.027290623635053635,
148,11174,,0.03345399349927902
148,11174,0.03120725229382515,
149,11249,,0.04155027121305466
149,11249,0.024956922978162766,
150,11324,,0.05817488953471184
150,11324,0.026217972859740257,
151,11399,,0.03700069710612297
151,11399,0.03221304714679718,
152,11474,,0.042208269238471985
152,11474,0.026003018021583557,
153,11549,,0.055081792175769806
153,11549,0.02612248808145523,
154,11624,,0.04119272157549858
154,11624,0.031848419457674026,
155,11699,,0.057695500552654266
155,11699,0.02698121964931488,
156,11774,,0.042626671493053436
156,11774,0.0298848245292902,
157,11849,,0.03863246738910675
157,11849,0.0257203858345747,
158,11924,,0.04156897962093353
158,11924,0.03555082157254219,
159,11999,,0.040708594024181366
159,11999,0.02801361121237278,
160,12074,,0.034505683928728104
160,12074,0.02519039250910282,
161,12149,,0.03310795873403549
161,12149,0.02301058918237686,
162,12224,,0.03415939211845398
162,12224,0.023794228211045265,
163,12299,,0.031663428992033005
163,12299,0.027176978066563606,
164,12374,,0.0312909334897995
164,12374,0.024381166324019432,
165,12449,,0.03469865769147873
165,12449,0.02436121739447117,
166,12524,,0.039678700268268585
166,12524,0.02943943627178669,
167,12599,,0.03172404691576958
167,12599,0.026847003027796745,
168,12674,,0.030952531844377518
168,12674,0.02648531086742878,
169,12749,,0.038509104400873184
169,12749,0.02517828717827797,
170,12824,,0.03947357088327408
170,12824,0.026198068633675575,
171,12899,,0.06107039004564285
171,12899,0.0509207583963871,
172,12974,,0.04049554839730263
172,12974,0.03409469127655029,
173,13049,,0.035486821085214615
173,13049,0.024359572678804398,
174,13124,,0.04049553722143173
174,13124,0.02617870643734932,
175,13199,,0.03589398413896561
175,13199,0.024980327114462852,
176,13274,,0.03178489953279495
176,13274,0.02388998679816723,
177,13349,,0.0340762697160244
177,13349,0.024283146485686302,
178,13424,,0.04985661432147026
178,13424,0.03939977288246155,
179,13499,,0.035524435341358185
179,13499,0.023141546174883842,
180,13574,,0.035991936922073364
180,13574,0.02296188287436962,
181,13649,,0.039023976773023605
181,13649,0.026795784011483192,
182,13724,,0.030522271990776062
182,13724,0.022266093641519547,
183,13799,,0.03712413087487221
183,13799,0.026166649535298347,
184,13874,,0.041510868817567825
184,13874,0.02564242109656334,
185,13949,,0.03971590846776962
185,13949,0.026116233319044113,
186,14024,,0.03240295127034187
186,14024,0.021669359877705574,
187,14099,,0.03491735830903053
187,14099,0.02754017896950245,
188,14174,,0.03760869428515434
188,14174,0.022332681342959404,
189,14249,,0.030635282397270203
189,14249,0.022479379549622536,
190,14324,,0.27277421951293945
190,14324,0.21703341603279114,
191,14399,,0.07473360002040863
191,14399,0.12564043700695038,
192,14474,,0.04325338453054428
192,14474,0.04512035846710205,
193,14549,,0.046072207391262054
193,14549,0.042823683470487595,
194,14624,,0.035421766340732574
194,14624,0.03494253009557724,
195,14699,,0.032710377126932144
195,14699,0.025720199570059776,
196,14774,,0.031175503507256508
196,14774,0.023601293563842773,
197,14849,,0.031217236071825027
197,14849,0.022421620786190033,
198,14924,,0.030004967004060745
198,14924,0.022968612611293793,
199,14999,,0.030083801597356796
199,14999,0.02175796590745449,
200,15074,,0.03392578288912773
200,15074,0.023389821872115135,
201,15149,,0.03303837031126022
201,15149,0.03280424326658249,
202,15224,,0.031883854418992996
202,15224,0.023863444104790688,
203,15299,,0.03337256610393524
203,15299,0.02342895418405533,
204,15374,,0.03484067693352699
204,15374,0.03240257874131203,
205,15449,,0.034393440932035446
205,15449,0.023382624611258507,
206,15524,,0.03444362431764603
206,15524,0.021531259641051292,
207,15599,,0.03427011892199516
207,15599,0.02295343391597271,
208,15674,,0.03850402683019638
208,15674,0.024426661431789398,
