epoch,step,train_loss,val_loss
0,74,,2.242762804031372
0,74,6.849869728088379,
1,149,,2.1103861331939697
1,149,2.2135848999023438,
2,224,,2.0715677738189697
2,224,2.118807077407837,
3,299,,1.9787743091583252
3,299,2.059581756591797,
4,374,,1.9030189514160156
4,374,1.9868181943893433,
5,449,,1.8761131763458252
5,449,1.8903645277023315,
6,524,,1.2978689670562744
6,524,1.649011492729187,
7,599,,1.008882761001587
7,599,1.0840283632278442,
8,674,,0.9505157470703125
8,674,0.9832637310028076,
9,749,,0.8671712875366211
9,749,0.9127886891365051,
10,824,,0.8100668787956238
10,824,0.8886814117431641,
11,899,,0.7721227407455444
11,899,0.8757813572883606,
12,974,,0.8129528164863586
12,974,0.7330568432807922,
13,1049,,0.47525033354759216
13,1049,0.7455413937568665,
14,1124,,0.44432830810546875
14,1124,0.5853252410888672,
15,1199,,0.44245386123657227
15,1199,0.5237829089164734,
16,1274,,0.29266852140426636
16,1274,0.4079746603965759,
17,1349,,0.3165072798728943
17,1349,0.40977126359939575,
18,1424,,0.35896819829940796
18,1424,0.37491896748542786,
19,1499,,0.26646825671195984
19,1499,0.46277886629104614,
20,1574,,0.22173111140727997
20,1574,0.24897484481334686,
21,1649,,0.2305690497159958
21,1649,0.2450830340385437,
22,1724,,0.22324442863464355
22,1724,0.28966623544692993,
23,1799,,0.20083467662334442
23,1799,0.21501865983009338,
24,1874,,0.20202727615833282
24,1874,0.2043522745370865,
25,1949,,0.19901420176029205
25,1949,0.19370797276496887,
26,2024,,0.184162899851799
26,2024,0.17495280504226685,
27,2099,,0.1715644747018814
27,2099,0.16773520410060883,
28,2174,,0.17175209522247314
28,2174,0.1743244230747223,
29,2249,,0.17195256054401398
29,2249,0.16737835109233856,
30,2324,,0.16518589854240417
30,2324,0.1585976779460907,
31,2399,,0.16011855006217957
31,2399,0.1495201736688614,
32,2474,,0.15377669036388397
32,2474,0.1521875262260437,
33,2549,,0.15103158354759216
33,2549,0.13650476932525635,
34,2624,,0.16317889094352722
34,2624,0.13396306335926056,
35,2699,,0.14968891441822052
35,2699,0.1278771013021469,
36,2774,,0.3717650771141052
36,2774,0.14568296074867249,
37,2849,,0.26250264048576355
37,2849,0.7021147608757019,
38,2924,,0.46814078092575073
38,2924,0.5121884942054749,
39,2999,,0.2526039779186249
39,2999,0.4105851650238037,
40,3074,,0.20688053965568542
40,3074,0.2205289900302887,
41,3149,,0.1709798276424408
41,3149,0.1889713704586029,
42,3224,,0.2864900231361389
42,3224,0.4834805727005005,
43,3299,,0.23473849892616272
43,3299,0.30582138895988464,
44,3374,,0.22600877285003662
44,3374,0.2627602517604828,
45,3449,,0.18597789108753204
45,3449,0.20927521586418152,
46,3524,,0.1883224993944168
46,3524,0.23348772525787354,
47,3599,,0.1449759155511856
47,3599,0.16819363832473755,
48,3674,,0.14793705940246582
48,3674,0.144717738032341,
49,3749,,0.1271158754825592
49,3749,0.12371484190225601,
50,3824,,0.1566944718360901
50,3824,0.13532620668411255,
51,3899,,0.15054340660572052
51,3899,0.1295006275177002,
52,3974,,0.13152417540550232
52,3974,0.11218714714050293,
53,4049,,0.1372028887271881
53,4049,0.1051345020532608,
54,4124,,0.21110102534294128
54,4124,0.33638811111450195,
55,4199,,0.15455709397792816
55,4199,0.16850709915161133,
56,4274,,0.15327894687652588
56,4274,0.12899576127529144,
57,4349,,0.13579373061656952
57,4349,0.12401262670755386,
58,4424,,0.1745511144399643
58,4424,0.11662958562374115,
59,4499,,0.12328559160232544
59,4499,0.11463414877653122,
60,4574,,0.13863959908485413
60,4574,0.11064154654741287,
61,4649,,0.12065603584051132
61,4649,0.09366696327924728,
62,4724,,0.11747565120458603
62,4724,0.08602774143218994,
63,4799,,0.12394442409276962
63,4799,0.08619040995836258,
64,4874,,0.11085768043994904
64,4874,0.09397957473993301,
65,4949,,0.10324053466320038
65,4949,0.07757184654474258,
66,5024,,0.23446092009544373
66,5024,0.2539605498313904,
67,5099,,0.11730778217315674
67,5099,0.1323743462562561,
68,5174,,0.10733306407928467
68,5174,0.07543326169252396,
69,5249,,0.11841244995594025
69,5249,0.08293058723211288,
70,5324,,0.14823035895824432
70,5324,0.07967346906661987,
71,5399,,0.11516077816486359
