epoch,step,train_loss,val_loss
0,74,,2.4618256092071533
0,74,7.991609573364258,
1,149,,1.9543063640594482
1,149,2.2191240787506104,
2,224,,1.374503493309021
2,224,1.6569589376449585,
3,299,,1.0250513553619385
3,299,1.148416519165039,
4,374,,0.6577750444412231
4,374,0.9022499322891235,
5,449,,0.44927915930747986
5,449,0.5890060663223267,
6,524,,0.4263332784175873
6,524,0.5450479388237,
7,599,,0.3234303593635559
7,599,0.4046792984008789,
8,674,,0.30964797735214233
8,674,0.33213916420936584,
9,749,,0.2645549178123474
9,749,0.29314494132995605,
10,824,,0.22726503014564514
10,824,0.2478669434785843,
11,899,,0.22012002766132355
11,899,0.25326666235923767,
12,974,,0.20718176662921906
12,974,0.2418731153011322,
13,1049,,0.19504234194755554
13,1049,0.20580518245697021,
14,1124,,0.1765768676996231
14,1124,0.1854526400566101,
15,1199,,0.17424151301383972
15,1199,0.16791130602359772,
16,1274,,0.18070662021636963
16,1274,0.1580915004014969,
17,1349,,0.16177228093147278
17,1349,0.14921990036964417,
18,1424,,0.15064576268196106
18,1424,0.12805499136447906,
19,1499,,0.1462535858154297
19,1499,0.1443779021501541,
20,1574,,0.13270753622055054
20,1574,0.11334104835987091,
21,1649,,0.12444663047790527
21,1649,0.15263552963733673,
22,1724,,0.11584480106830597
22,1724,0.10020416975021362,
23,1799,,0.15034887194633484
23,1799,0.10108926147222519,
24,1874,,0.1135072261095047
24,1874,0.15064974129199982,
25,1949,,0.11313055455684662
25,1949,0.10121861100196838,
26,2024,,0.12788668274879456
26,2024,0.09121017903089523,
27,2099,,0.10871200263500214
27,2099,0.12719839811325073,
28,2174,,0.498406320810318
28,2174,0.35223275423049927,
29,2249,,0.3294224143028259
29,2249,0.5377756953239441,
30,2324,,0.26532918214797974
30,2324,0.3104398846626282,
31,2399,,0.24339823424816132
31,2399,0.2515939474105835,
32,2474,,0.17772796750068665
32,2474,0.19673514366149902,
33,2549,,0.16056710481643677
33,2549,0.16387787461280823,
34,2624,,0.14208301901817322
34,2624,0.1524607241153717,
35,2699,,0.18795807659626007
35,2699,0.19024211168289185,
36,2774,,0.17832043766975403
36,2774,0.15684513747692108,
37,2849,,0.1211477518081665
37,2849,0.1262488067150116,
38,2924,,0.1221071258187294
38,2924,0.11724045872688293,
39,2999,,0.10854657739400864
39,2999,0.10573532432317734,
40,3074,,0.12330909073352814
40,3074,0.10895716398954391,
41,3149,,0.1068243756890297
41,3149,0.1089714840054512,
42,3224,,0.10017875581979752
42,3224,0.09563969075679779,
43,3299,,0.10595564544200897
43,3299,0.10882235318422318,
44,3374,,0.16273409128189087
44,3374,0.10461445152759552,
45,3449,,0.33719179034233093
45,3449,0.40202969312667847,
46,3524,,0.3090459704399109
46,3524,0.3396509885787964,
47,3599,,0.15495195984840393
47,3599,0.240732803940773,
48,3674,,0.14076940715312958
48,3674,0.12918303906917572,
49,3749,,0.10473029315471649
49,3749,0.10623490065336227,
50,3824,,0.0997004359960556
50,3824,0.07834485173225403,
51,3899,,0.13831409811973572
51,3899,0.10354704409837723,
52,3974,,0.1010182648897171
52,3974,0.10187661647796631,
53,4049,,0.13008934259414673
53,4049,0.16933542490005493,
54,4124,,0.09729430824518204
54,4124,0.08620314300060272,
55,4199,,0.0928221344947815
55,4199,0.07406403124332428,
56,4274,,0.09475567936897278
56,4274,0.07395647466182709,
57,4349,,0.08822979032993317
57,4349,0.06608709692955017,
58,4424,,0.09455957263708115
58,4424,0.06156240403652191,
59,4499,,0.09160008281469345
59,4499,0.06123467907309532,
60,4574,,0.0858273059129715
60,4574,0.059784699231386185,
61,4649,,0.09340421855449677
61,4649,0.05927392467856407,
62,4724,,0.08255451172590256
62,4724,0.05731142684817314,
63,4799,,0.09942746162414551
63,4799,0.08481335639953613,
64,4874,,0.08367927372455597
64,4874,0.06795971095561981,
65,4949,,0.1789616346359253
65,4949,0.07804156839847565,
66,5024,,0.08726129680871964
66,5024,0.1371697038412094,
67,5099,,0.3641204535961151
67,5099,0.0719604417681694,
68,5174,,0.08371146023273468
68,5174,0.23047108948230743,
69,5249,,0.3654630482196808
69,5249,0.290393590927124,
70,5324,,0.28953027725219727
70,5324,0.3608596920967102,
71,5399,,0.10073308646678925
71,5399,0.14865434169769287,
72,5474,,0.09288080781698227
72,5474,0.08885203301906586,
73,5549,,0.07329319417476654
73,5549,0.06472058594226837,
74,5624,,0.07295641303062439
74,5624,0.05093543604016304,
75,5699,,0.0727631002664566
75,5699,0.05062922090291977,
76,5774,,0.0690092071890831
76,5774,0.054875195026397705,
77,5849,,0.07748810946941376
77,5849,0.1264970749616623,
78,5924,,0.0791839063167572
78,5924,0.05312884598970413,
79,5999,,0.06308599561452866
79,5999,0.06287746131420135,
80,6074,,0.06107687950134277
80,6074,0.06536541879177094,
81,6149,,0.06277970969676971
81,6149,0.058768272399902344,
82,6224,,0.06640642881393433
82,6224,0.05168228596448898,
83,6299,,0.06877338886260986
83,6299,0.04908416047692299,
84,6374,,0.06020160764455795
84,6374,0.05005872994661331,
85,6449,,0.07074853032827377
85,6449,0.045107677578926086,
86,6524,,0.1254691630601883
86,6524,0.30127695202827454,
87,6599,,0.10731261968612671
87,6599,0.08831659704446793,
88,6674,,0.07037491351366043
88,6674,0.058378010988235474,
89,6749,,0.07981362193822861
89,6749,0.07122817635536194,
90,6824,,0.07114972174167633
90,6824,0.052548907697200775,
91,6899,,0.07741103321313858
91,6899,0.0591643787920475,
92,6974,,0.08361689001321793
92,6974,0.0527065172791481,
93,7049,,0.06280107796192169
93,7049,0.046728022396564484,
94,7124,,0.062357544898986816
94,7124,0.039971861988306046,
95,7199,,0.05786626413464546
95,7199,0.04033948481082916,
96,7274,,0.05878755450248718
96,7274,0.03931484371423721,
97,7349,,0.057153571397066116
97,7349,0.03735196962952614,
98,7424,,0.09341699630022049
98,7424,0.06013553589582443,
99,7499,,0.06786893308162689
99,7499,0.05943344160914421,
100,7574,,0.0643942579627037
100,7574,0.040429312735795975,
101,7649,,0.05822044610977173
101,7649,0.04658297076821327,
102,7724,,0.07197335362434387
102,7724,0.04474199190735817,
103,7799,,0.06352660059928894
103,7799,0.042574137449264526,
104,7874,,0.059236444532871246
104,7874,0.040196843445301056,
105,7949,,0.0693647563457489
105,7949,0.04428961127996445,
106,8024,,0.055500127375125885
106,8024,0.03810602053999901,
107,8099,,0.06615963578224182
107,8099,0.04545300826430321,
108,8174,,0.08048033714294434
108,8174,0.08328812569379807,
109,8249,,0.06912948191165924
109,8249,0.05868759751319885,
110,8324,,0.11344265937805176
110,8324,0.0776188001036644,
111,8399,,0.06392210721969604
111,8399,0.07694686204195023,
112,8474,,0.6549243330955505
112,8474,0.3422646224498749,
113,8549,,0.41811665892601013
113,8549,0.4380263388156891,
114,8624,,0.11906220018863678
114,8624,0.19377270340919495,
115,8699,,0.10353251546621323
115,8699,0.1301398128271103,
116,8774,,0.09434667974710464
116,8774,0.09369216114282608,
117,8849,,0.1289856880903244
117,8849,0.13369552791118622,
118,8924,,0.09313160181045532
118,8924,0.10656851530075073,
119,8999,,0.08248665183782578
119,8999,0.07001160830259323,
120,9074,,0.08982159197330475
120,9074,0.06659060716629028,
121,9149,,0.08125291764736176
121,9149,0.07911896705627441,
122,9224,,0.07945599406957626
122,9224,0.059104543179273605,
123,9299,,0.08249441534280777
123,9299,0.07219509035348892,
124,9374,,0.08076917380094528
124,9374,0.07042389363050461,
125,9449,,0.07672502100467682
125,9449,0.06485306471586227,
126,9524,,0.07249432057142258
126,9524,0.05851597338914871,
127,9599,,0.0755394697189331
127,9599,0.04753929749131203,
